id,name,type,description
P1,李欣怡,Person,女，1992年生，毕业于武汉大学，现任深圳某互联网公司UI设计师，热爱绘画与旅行
P2,王宇航,Person,男，1988年生，机械工程师，工作于上海嘉定区，业余喜欢骑行
P3,陈嘉慧,Person,女，1995年生，广州小学教师，擅长钢琴，喜欢阅读儿童文学
P4,林志明,Person,男，1990年生，福建泉州服装厂质检员，家庭和睦，喜欢打羽毛球
P5,赵子涵,Person,女，1993年生，成都软件测试工程师，热衷美食与手工DIY
P6,周伟,Person,男，1985年生，重庆建筑设计师，已婚，育有一女，喜欢登山
P7,吴晓彤,Person,女，1997年生，南京新媒体运营，爱好摄影与写作
P8,张家豪,Person,男，1991年生，天津物流公司司机，喜欢钓鱼和篮球
P9,黄美玲,Person,女，1989年生，台北银行职员，繁體字姓名，喜歡烘焙
P10,何俊杰,Person,男，1994年生，苏州电子厂技术员，业余学习日语
P11,李佳乐,Person,女，1996年生，西安幼儿园老师，喜欢插花和瑜伽
P12,王子瑞,Person,男，1992年生，哈尔滨消防员，热爱健身与滑雪
P13,陈思雨,Person,女，1993年生，长沙医院护士，喜欢手工编织
P14,林子豪,Person,男，1987年生，厦门水产养殖场主管，喜欢海钓
P15,赵雅婷,Person,女，1991年生，郑州会计师，业余弹古筝
P16,周志强,Person,男，1986年生，合肥汽车维修技师，喜欢足球
P17,吴欣怡,Person,女，1995年生，上海咖啡馆店员，热爱烘焙
P18,张伟杰,Person,男，1990年生，深圳快递员，喜欢骑行
P19,黄嘉雯,Person,女，1994年生，香港中学英语教师，繁體字姓名，喜歡旅遊
P20,何文斌,Person,男，1988年生，广州超市采购员，喜欢摄影
P21,李婷婷,Person,女，1997年生，成都宠物美容师，喜欢养猫
P22,王俊宇,Person,男，1993年生，南京地铁司机，业余写诗
P23,陈晓丽,Person,女，1992年生，武汉图书管理员，喜欢古典文学
P24,林伟,Person,男，1989年生，福州电力工程师，喜欢游泳
P25,赵欣欣,Person,女，1995年生，重庆健身教练，热爱跑步
P26,周嘉豪,Person,男，1991年生，上海外贸业务员，喜欢学英语
P27,吴美玲,Person,女，1988年生，台中医院药剂师，繁體字姓名，喜歡園藝
P28,张志强,Person,男，1990年生，天津物业管理员，喜欢书法
P29,黄婷婷,Person,女，1993年生，深圳幼教，喜欢画画
P30,何欣怡,Person,女，1996年生，苏州美术馆讲解员，喜欢摄影
C1,字节跳动有限公司,Company,中国领先的互联网科技公司，主营内容平台与AI技术
C2,腾讯控股有限公司,Company,全球市值前列的互联网企业，业务涵盖社交、游戏、金融科技
C3,阿里巴巴集团,Company,中国最大电商平台，业务遍及全球，涵盖云计算、金融、物流
C4,台積電股份有限公司,Company,全球最大半导体制造企业，总部位于台湾新竹
C5,华为技术有限公司,Company,全球领先的通信设备与智能手机制造商
C6,京东集团,Company,中国知名电商平台，物流体系完善，创新驱动发展
C7,美团点评,Company,中国生活服务电子商务平台，涵盖外卖、酒店、旅游等业务
C8,长江实业集团,Company,香港著名地产与投资集团，业务遍及全球
C9,中国平安保险,Company,中国最大保险与金融服务集团，科技创新领先
C10,工商银行,Company,中国四大银行之一，全球资产规模最大银行
F1,中国红十字基金会,Fund,全国性公益基金组织，专注于医疗救助与灾害援助
F2,北京大学教育基金会,Fund,支持高等教育发展，资助学术研究与人才培养
F3,上海慈善基金会,Fund,上海地区最大慈善组织，关注弱势群体
F4,香港公益金,Fund,香港地区主要慈善机构，资助多类社会服务
F5,台灣兒童福利聯盟,Fund,台灣兒童權益保護與福利推動機構
N1,中国互联网协会,NGO,推动互联网行业健康发展，制定行业标准
N2,中华环保联合会,NGO,全国性环保组织，致力于生态保护与绿色发展
N3,上海市律师协会,NGO,上海地区律师行业自律与服务组织
N4,北京医学会,NGO,医学专业学术交流与继续教育平台
N5,台灣金融研訓院,NGO,台灣金融人才培訓與研究机构
E11,北京智源控股,Holding,专注于高科技产业投资，旗下拥有多家创新企业
E12,上海新创集团,Holding,上海本地大型投资控股集团，涉足地产、金融、科技
E13,香港恒基控股,Holding,香港知名地产与金融控股集团
E14,深圳创新控股,Holding,深圳高新技术产业投资平台
E15,台北远东控股,Holding,台湾地区多元化产业集团
E21,北京云端子公司,Subsidiary,隶属于字节跳动，主营云计算与大数据服务
E22,上海腾云子公司,Subsidiary,腾讯控股旗下云服务子公司
E23,杭州阿里云子公司,Subsidiary,阿里巴巴集团云计算业务核心企业
E24,新竹晶圆子公司,Subsidiary,台積電旗下半导体制造分支
E25,香港长江地产子公司,Subsidiary,长江实业集团地产开发业务
E31,北京创新SPV,SPV,专为科技项目融资设立的特殊目的载体
E32,上海金融SPV,SPV,金融创新项目专用SPV，风险隔离
E33,香港地产SPV,SPV,香港地产投资专用SPV
E34,台北科技SPV,SPV,台灣高科技产业融资SPV
E35,深圳创业SPV,SPV,创业孵化与投资专用SPV
E41,北京合资企业,JV,中外合资高科技企业，聚焦人工智能
E42,上海合资企业,JV,中外合资金融科技公司
E43,香港合资企业,JV,香港本地与国际资本合作企业
E44,台北合资企业,JV,台灣本地与外资合作科技企业
E45,深圳合资企业,JV,深圳创新科技合资公司
C11,小米科技有限责任公司,Company,智能手机与物联网设备制造商
C12,格力电器股份有限公司,Company,中国领先的家电制造企业
C13,百度在线网络技术公司,Company,中国知名互联网搜索与AI企业
C14,美的集团股份有限公司,Company,家电与智能制造行业龙头
C15,海尔集团公司,Company,全球家电品牌，创新驱动发展
C16,中国移动通信集团,Company,全球最大移动通信运营商之一
C17,中国联通集团,Company,中国主要电信运营商，业务遍及全国
C18,中国电信集团,Company,中国三大电信运营商之一
C19,中国石油天然气集团,Company,全球最大能源公司之一
C20,中国中铁股份有限公司,Company,基础设施建设与工程承包龙头
P1001,王伟,Person,男，1985年生，广州地铁司机，喜欢摄影
P1002,王伟,Person,男，1990年生，深圳软件工程师，热爱编程与篮球
